,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
143,143,محل للإيجار في حي عريض ، الرياض ، الرياض,"100,000 ريال",510 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-عريض/حي-عريض-الرياض-الرياض-3305685,شمال,,
144,144,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض,"6,000 ريال",25 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-1822553,شمال,30 م, 10 سنة
145,145,محل للإيجار في شارع الامام مسلم ، حي بدر ، الرياض ، الرياض,"70,000 ريال",1500 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الامام-مسلم-حي-بدر-الرياض-الرياض-2614927,شمال,,
146,146,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,"18,000 ريال",48 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-الرياض-3269574,شمال,40 م, 10 سنة
147,147,محل للإيجار في طريق النصر ، حي المصانع ، الرياض ، الرياض,"30,000 ريال",122 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المصانع/طريق-النصر-حي-المصانع-الرياض-الرياض-1977459,شمال,60 م,جديد
148,148,محل للإيجار في شارع وادي التسرير ، حي بدر ، الرياض ، الرياض,"90,000 ريال",1200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-التسرير-حي-بدر-الرياض-الرياض-3123395,3 شوارع,60 م, 5 سنة
149,149,محل للإيجار في حي العزيزية ، الرياض,"40,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-1837648,شرق,,
150,150,محل للإيجار في شارع ام عمارة ، حي بدر ، الرياض,"5,000 ريال",36 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-ام-عمارة-حي-بدر-الرياض-1375167,شمال,30 م, 15 سنة
151,151,محل للإيجار في شارع شهاب الدين بن المظفر ، حي العزيزية ، الرياض ، الرياض,"500,000 ريال",3064 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-شهاب-الدين-بن-المظفر-حي-العزيزية-الرياض-الرياض-3518810,3 شوارع,40 م,جديد
152,152,محل للإيجار في طريق النصر ، حي العزيزية ، الرياض ، الرياض,"45,000 ريال",100 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-النصر-حي-العزيزية-الرياض-الرياض-3296248,شمال,60 م, 30 سنة
153,153,محل للإيجار في شارع عبدالواحد الازجي ، حي المروة ، الرياض ، الرياض,"85,000 ريال",117 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المروة/شارع-عبدالواحد-الازجي-حي-المروة-الرياض-الرياض-1929880,غرب,60 م, 7 سنة
154,154,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3395991,جنوب غربي,35 م, 2 سنة
155,155,محل للإيجار في شارع الخليل بن أحمد ، حي الشفا ، الرياض ، الرياض,"250,000 ريال",638 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-الخليل-بن-أحمد-حي-الشفا-الرياض-الرياض-3146203,جنوب غربي,40 م, 14 سنة
156,156,محل للإيجار في حي ، طريق الخرج ، حي الدار البيضاء ، الرياض ، الرياض,"90,000 ريال",300 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-طريق-الخرج-حي-الدار-البيضاء-الرياض-الرياض-3765892,شرق,30 م, 15 سنة
