,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
90,90,محل للإيجار في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,"35,000 ريال",38 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/حي-طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-3036293,شمال,40 م,جديد
91,91,محل للإيجار في شارع العيينة ، حي ظهرة لبن ، الرياض ، الرياض,"100,000 ريال",500 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-العيينة-حي-ظهرة-لبن-الرياض-الرياض-2631986,جنوب,40 م, 5 سنة
92,92,محل للإيجار في شارع الشفا ، حي ظهرة لبن ، الرياض ، الرياض,"86,000 ريال",220 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الشفا-حي-ظهرة-لبن-الرياض-الرياض-3648484,جنوب,60 م, 11 سنة
93,93,محل للإيجار في شارع كعب بن زهير ، حي السويدي ، الرياض ، الرياض,"15,000 ريال",48 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-كعب-بن-زهير-حي-السويدي-الرياض-الرياض-3615827,غرب,30 م, 30 سنة
94,94,محل للإيجار في طريق نجم الدين الأيوبي الفرعي ، حي ظهرة نمار ، الرياض ، الرياض,"37,000 ريال",110 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-نمار/طريق-نجم-الدين-الأيوبي-الفرعي-حي-ظهرة-نمار-الرياض-الرياض-2490264,جنوب,,
95,95,محل للإيجار في شارع الطائف ، حي ظهرة لبن ، الرياض ، الرياض,"18,000 ريال",64 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الطائف-حي-ظهرة-لبن-الرياض-الرياض-3473417,جنوب,,
96,96,محل للإيجار في الرياض ، حي الزهرة ، الرياض,"11,000 ريال",24 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الزهرة/الرياض-حي-الزهرة-الرياض-3254420,شمال,30 م, 33 سنة
97,97,محل للإيجار في طريق المدينة المنورة ، حي ظهرة البديعة ، الرياض ، الرياض,"50,000 ريال",80 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-البديعة/طريق-المدينة-المنورة-حي-ظهرة-البديعة-الرياض-الرياض-3577447,شمال,40 م, 20 سنة
98,98,محل للإيجار في حي ، شارع حبيبة ينت ابي سفيان ، حي العريجاء الغربية ، الرياض ، الرياض,"80,000 ريال",400 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-العريجاء-الغربية/حي-شارع-حبيبة-ينت-ابي-سفيان-حي-العريجاء-الغربية-الرياض-الرياض-3610831,شرق,30 م,جديد
99,99,محل للإيجار في حي ، شارع المجد ، حي ظهرة لبن ، الرياض ، الرياض,"5,000 ريال",40 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/حي-شارع-المجد-حي-ظهرة-لبن-الرياض-الرياض-3694446,غرب,,
