,shoptitle,prices,areaa,links,front,street_width,age
42,محل للإيجار في شارع ثابت بن النعمان ، حي المرقب ، الرياض ، الرياض,"10,000 ريال",15 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/شارع-ثابت-بن-النعمان-حي-المرقب-الرياض-الرياض-2786194,غرب,9 م, 28 سنة
43,محل للإيجار في حي العمل ، الرياض ، الرياض,"20,000 ريال",8 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/حي-العمل-الرياض-الرياض-3706313,شمال,20 م, 15 سنة
44,محل للإيجار في طريق الامير سلمان بن عبدالعزيز ، حي الفاروق ، الرياض ، الرياض,"20,000 ريال",54 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفاروق/طريق-الامير-سلمان-بن-عبدالعزيز-حي-الفاروق-الرياض-الرياض-3427718,جنوب,5 م, 20 سنة
45,محل للإيجار في حي ، شارع ال فريان ، حي منفوحة الجديدة ، الرياض ، الرياض,"10,000 ريال",23 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/حي-شارع-ال-فريان-حي-منفوحة-الجديدة-الرياض-الرياض-3274360,شرق,30 م, 25 سنة
46,محل للإيجار في شارع الرس ، حي ثليم ، الرياض ، الرياض,"50,000 ريال",200 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/شارع-الرس-حي-ثليم-الرياض-الرياض-3756332,جنوب,5 م, 25 سنة
47,محل للإيجار في شارع الامير عبدالله بن جلوي بن تركي ، حي المربع ، الرياض ، الرياض,"140,000 ريال",40 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/شارع-الامير-عبدالله-بن-جلوي-بن-تركي-حي-المربع-الرياض-الرياض-3275280,جنوب,1 م,جديد
48,محل للإيجار في شارع الأمير فيصل بن تركي بن عبدالعزيز ، حي المربع ، الرياض ، الرياض,"60,000 ريال",60 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/شارع-الأمير-فيصل-بن-تركي-بن-عبدالعزيز-حي-المربع-الرياض-الرياض-3746537,شمال,,
49,محل للإيجار في شارع ابو خليفه ، حي ثليم ، الرياض ، الرياض,"30,000 ريال",80 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/شارع-ابو-خليفه-حي-ثليم-الرياض-الرياض-3769179,شمال,5 م, 30 سنة
50,محل للإيجار في حي ، شارع منفوحة ، حي منفوحة الجديدة ، الرياض ، الرياض,"60,000 ريال",100 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/حي-شارع-منفوحة-حي-منفوحة-الجديدة-الرياض-الرياض-3556434,جنوب غربي,20 م, 35 سنة
51,محل للإيجار في شارع الطرفاوي ، حي المرقب ، الرياض ، الرياض,"50,000 ريال",20 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الديرة/شارع-الطرفاوي-حي-المرقب-الرياض-الرياض-3573973,شمال,4 م, 20 سنة
52,محل للإيجار في الطريق الدائري الشرقي الفرعي ، حي الربوة ، الرياض ، الرياض,"297,000 ريال",297 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الربوة/الطريق-الدائري-الشرقي-الفرعي-حي-الربوة-الرياض-الرياض-3745258,شرق,100 م, 4 سنة
53,محل للإيجار في شارع البطحاء ، حي المنصورة ، الرياض ، الرياض,"15,000 ريال",32 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المنصورة/شارع-البطحاء-حي-المنصورة-الرياض-الرياض-3683319,غرب,40 م, 23 سنة
54,محل للإيجار في شارع البطحاء الفرعي ، حي المرقب ، الرياض ، الرياض,"80,000 ريال",15 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الديرة/شارع-البطحاء-الفرعي-حي-المرقب-الرياض-الرياض-3573980,شمال,20 م, 20 سنة
55,محل للإيجار في شارع الامير محمد بن سعود بن فيصل ، حي الخالدية ، الرياض ، الرياض,"18,000 ريال",60 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الخالدية/شارع-الامير-محمد-بن-سعود-بن-فيصل-حي-الخالدية-الرياض-الرياض-3150569,جنوب,,
